x,y
6.022049321676882983e+02,1.447560992226664212e+03
5.872356817510149085e+02,1.460824534059934876e+03
5.758153895306563754e+02,1.477243331994059645e+03
5.668479779910361458e+02,1.495120287279540662e+03
5.501434941487948436e+02,1.506118478929275625e+03
5.395173751071813513e+02,1.523062079317429834e+03
5.314107403848204285e+02,1.541345472697166770e+03
5.177700516999267393e+02,1.555971873901899698e+03
5.000957624721748402e+02,1.565332402748806317e+03
4.828868841149586046e+02,1.575523305833741233e+03
4.699575978945829888e+02,1.590782190387718401e+03
4.609901863549627592e+02,1.608659145673199419e+03
4.454067862906606479e+02,1.621195398799070290e+03
4.332181915265900898e+02,1.637052200421001316e+03
4.305909596354364908e+02,1.656878890830399087e+03
4.184023648713659327e+02,1.672735692452330113e+03
4.157751329802123337e+02,1.692562382861727883e+03
4.234132286255395456e+02,1.711046416374812452e+03
4.283430272303691595e+02,1.730429323424989889e+03
4.323449661938024633e+02,1.750024845478075349e+03
1.107762405793575908e+03,1.010768740752957228e+03
1.124084234272619824e+03,1.022327197185399768e+03
1.135727974743784443e+03,1.038588295175392886e+03
1.153942298781882755e+03,1.046848948892572707e+03
1.173590712518274586e+03,1.050582558090597104e+03
1.192507785744310468e+03,1.057074425353626793e+03
1.207018541685699120e+03,1.070838071745824436e+03
1.224365164796812905e+03,1.080792702157897793e+03
1.242165800453945167e+03,1.089910671789456501e+03
1.262140587952312217e+03,1.088906747292755199e+03
1.281315633347355742e+03,1.083221887215495599e+03
1.296396291928153914e+03,1.070085154868012978e+03
1.312084940130640234e+03,1.057680868609681738e+03
1.325848586522837877e+03,1.043170112668293086e+03
1.332340453785867567e+03,1.024253039442257204e+03
1.347421112366665739e+03,1.011116307094774470e+03
1.365173772867737853e+03,1.001905278643310794e+03
1.375942513620695081e+03,9.850519637588259911e+02
1.380606803074349955e+03,9.656034572893686345e+02
1.380554454340933944e+03,9.456035257992332390e+02
1.381453799957521142e+03,9.256237565948123347e+02
1.373971977421421570e+03,9.070759175956644640e+02
1.374871323038008768e+03,8.870961483912435597e+02
1.383989292669567703e+03,8.692955127341111847e+02
1.392249946386747524e+03,8.510811886960129868e+02
1.404571934877263629e+03,8.353278208135699288e+02
1.407366405993968556e+03,8.155240097869543661e+02
1.405413179945863476e+03,7.956196155986098120e+02
1.400647144282766931e+03,7.761957924924834060e+02
1.396810729637529221e+03,7.565671928819710956e+02
1.388454839754686191e+03,7.383963617434181970e+02
1.384618425109448481e+03,7.187677621329058866e+02
1.376262535226605451e+03,7.005969309943529879e+02
1.376210186493189440e+03,6.805969995042175924e+02
1.369619380038285954e+03,6.617141694654229696e+02
1.371468382697795050e+03,6.417998231501373994e+02
1.363112492814952020e+03,6.236289920115845007e+02
1.349273073302304510e+03,6.091904855946121415e+02
1.330068531222235606e+03,6.036060820011332453e+02
1.310088762017814815e+03,6.027067363845459340e+02
1.293235447133329899e+03,5.919379956315887057e+02
